"","...1","text","arousal","annotator"
"101",1,"She was like a savage wreaking vengeance upon some brazen victim.","H","Landry"
"10",2,"Don't  bang his head,"" he  cried with unexpected tenderness.","H","Adriana"
"94",3,"""Well, then, go and fetch it,"" said Nurse, but she was not attending; she wanted to go on with what she was saying to Mrs C. about the grocer's daughter.","L","Davide"
"97",4,"Ultimately the sailor, disgusted with the sordid meanness of that impenitent thief, deserted from the schooner.","H","Davide"
"117",5,"A happy marriage, she thought, that's what I was feeling all the time.","L","Landry"
"67",6,"What strength or courage could avail against an enemy armed with such mysterious powers?","L","Davide"
"141",7,"but hobbled to her feet again, pulled herself up, and again with her sidelong leer which slipped and turned aside even from her own face, and her own sorrows, stood and gaped in the glass, aimlessly smiling, and began again the old amble and hobble, taking up mats, putting down china, looking sideways in the glass, as if, after all, she had her consolations, as if indeed there twined about her dirge some incorrigible hope.","L","Landry"
"135",8,"Is it good, is it bad, is it right or wrong?","H","Landry"
"89",9,"A bitterly mocking smile  touched the lips of the young man.","L","Davide"
"54",10,"Her feeling of happiness returned to her, her unreasonable exaltation.","H","Davide"
"71",11,"When the  lieutenant turned his back on him Peyrol's pointing arm fell down by his  side; but he watched the lieutenant out of sight before he turned too  and moved in a contrary direction.","L","Davide"
"23",12,"""Was ever such bad luck and such bad management, too?","L","Adriana"
"32",13,"He had almost forgotten why he was there, and dreamily he could see all his past life on the smooth and boundless surface that glittered before his eyes.","H","Adriana"
"61",14,"And he had never run a penny into debt; he had never cost his father a penny since he was fifteen; he had helped them at home out of his savings; he was educating his sister.","L","Davide"
"104",15,"""I've got a good deal to say,"" our prisoner said slowly.","L","Landry"
"143",16,"There at the back of the house, squatting on his heels on scattered embers, in close proximity to the great iron boiler, where the family daily rice was being cooked by the women under Mrs. Almayer's superintendence, did that astute negotiator carry on long conversations in Sulu language with Almayer's wife.","L","Landry"
"26",17,"For they must fight tyranny to the death, she thought.","H","Adriana"
"64",18,"Mary rose, went to the table, spread out her papers under the green-shaded lamp and, with an action that was becoming a habit, twisted a lock of hair round and round in her fingers.","L","Davide"
"35",19,"""Because I can't  allow any man to behave to me in that way,"" Cassandra replied, and she added, ""particularly when I know that he is engaged to some one else.""","L","Adriana"
"152",20,"I might have said ""Yes,"" and gone back to nursery obscurity, and there, perhaps, mouldered for the rest of my life; but looking up at Madame, I saw in her countenance a something that made me think twice ere I decided.","L","Sveta"
"68",21,"Young Jefferson Hope rode on with his companions, gloomy and taciturn.","L","Davide"
"43",22,"May God long preserve to you the blessings of peace and innocence!","L","Adriana"
"150",23,"They meant that she would in all probability marry some young man whose mother they respected.","L","Landry"
"115",24,"His mother possessed a good development of benevolence, but he owned a better and larger.","H","Landry"
"127",25,"For a moment it stayed trembling in a painful but exciting ecstasy in the air.","H","Landry"
"85",26,"Apparently she found there the confirmation of the words just said, for a feeling of grateful security lightened for her the weight of sorrow at the hour of parting.","L","Davide"
"189",27,"Good-by, my wise, dear, grave little god-daughter.","H","Sveta"
"75",28,"From the middle of the gulf the point of the land itself is not visible at all; but the shoulder of a steep hill at the back can be made out faintly like a shadow on the sky.","L","Davide"
"59",29,"I hope you have made a good bargain in case you come back safe from this adventure.""","L","Davide"
"160",30,"She turned her back on him contemptuously, and said curtly, ""Come  along, aunt,"" and went to the door leading to the passage.","L","Sveta"
"52",31,"You, whom no persuasion can induce to pass a bull, however quiet he looks, would have firmly shown my housekeeper she had done wrong; then you would have gently and wisely admonished her; and at last, I dare say, provided she had seemed penitent, you would have very sweetly forgiven her.","L","Davide"
"37",32,"""Their last move of eight o'clock last night was to organize themselves into a Monterist Committee which sits, as far as I know, in a posada kept by a retired Mexican bull-fighter, a great politician, too, whose name I have forgotten.","L","Adriana"
"171",33,"The marks in the road showed me that the horse had wandered on in a way which would have been impossible had there been anyone in charge of it.","L","Sveta"
"77",34,"But what do YOU find insoluble, I asked him, looking at the mahogany man, the clean-shaven, rosy-gilled, mutton-fed man - "" ""The man in a newspaper office,"" North checked her, ""who knew your father.","L","Davide"
"81",35,"My tale draws to its close: one word respecting my experience of married life, and one brief glance at the fortunes of those whose names have most frequently recurred in this narrative, and I have done.","L","Davide"
"146",36,"On the death of Sir Charles we inquired for this young gentleman and found that he had been farming in Canada.","H","Landry"
"107",37,"She kept a fine flock of yellow chickens, sketched a little, certain rose-trees in the garden were committed specially to her care; and what with the care of the house, the care of the chickens, and the care of the poor, she scarcely knew what it was to have an idle minute.","L","Landry"
"149",38,"Giorgio Viola, whom he saw from afar, sitting on a bench under the front wall of the cottage, lifted his arm slightly to his loud hail.","L","Landry"
"108",39,"The autumn trees gleam in the yellow moonlight, in the light of harvest moons, the light which mellows the energy of labour, and smooths the stubble, and brings the wave lapping blue to the shore.","L","Landry"
"169",40,"On the other hand a wild chaos of boulders and debris made all advance impossible.","H","Sveta"
"5",41,"""You would lose your money,"" Sherlock Holmes remarked calmly.","H","Adriana"
"28",42,"Your folly shall betray you into poverty, misery, starvation.","H","Adriana"
"194",43,"His vitality was pleasant, Mary thought, although he made her laugh.","H","Sveta"
"27",44,"Paul set forth on a pilgrimage to Rome; the house was left quite empty, but for me, a servant, and a poor deformed and imbecile pupil, a sort of cretin, whom her stepmother in a distant province would not allow to return home.","L","Adriana"
"128",45,"She dared not question William; he was inscrutable; he never seemed even to follow the other couple with curiosity when they separated, as they frequently did, to name a plant, or examine a fresco.","L","Landry"
"184",46,"He need fear no desertion as long as some hope remains of that enormous plunder turning up.","H","Sveta"
"93",47,"I could comprehend the feeling, and share both its strength and truth.","L","Davide"
"95",48,"Because he's a priest, a mystery monger, he thought; feeling his coldness; this guardian of beautiful words.","L","Davide"
"163",49,"""You are no ruin, sir - no lightning-struck tree: you are green and vigorous.","H","Sveta"
"80",50,"Perhaps you would have the kindness to spare me half an hour, for there are one or two things that I badly want to say to you.""","L","Davide"
"187",51,"I do not know what kind of creatures inhabit such a thicket, but several times we heard the plunging of large, heavy animals quite close to us.","L","Sveta"
"21",52,"That girl would have had a right to hate me, except that, when school was over and her companions departing, I ordered her to stay, and when they were gone, I did what I had never done to one among them before -  pressed her to my heart and kissed her cheek.","H","Adriana"
"144",53,"He was  feeling vaguely, that in all his good intentions there was something  wanting.","L","Landry"
"38",54,"She had a great admiration for Mrs Levy, who was dying of cancer.","L","Adriana"
"188",55,"A terrible scream - a prolonged yell of horror and anguish burst out of the silence of the moor.","H","Sveta"
"65",56,"But if Duffus, she began - here the omnibus stopped; she looked up; she rose "" - if Duffus thinks he can bully me,"" she said as she went down the steps, ""he'll find he's mistaken.""","L","Davide"
"140",57,"From the Sierra Nevada to Nebraska, and from the Yellowstone River in the north to the Colorado upon the south, is a region of desolation and silence.","L","Landry"
"105",58,"After you left I sent down to Stamford's for the Ordnance map of this portion of the moor, and my spirit has hovered over it all day.","L","Landry"
"72",59,"I hope this delay will not have increased the difficulty of securing it.""","L","Davide"
"88",60,"Might I ask you to hand me my violin, and we will postpone all further thought upon this business until we have had the advantage of meeting Dr. Mortimer and Sir Henry Baskerville in the morning.""","L","Davide"
