"...1","text","arousal"
94,"The unfortunate delay can be apportioned between a blundering pilot and an intrusive sandbank.","L"
139,"""An Arab trader of this place has sent the information about your goings on here to Batavia, a couple of months ago,"" said the officer.","L"
86,"For the whole world seemed to have dissolved in this early morning hour into a pool of thought, a deep basin of reality, and one could almost fancy that had Mr. Carmichael spoken, for instance, a little tear would have rent the surface pool.","H"
169,"I had the same feeling of mystery and danger around us.","H"
125,"You are aware that I am not a very sound sleeper, and since I have been on guard in this house my slumbers have been lighter than ever.","L"
40,"On the other hand a wild chaos of boulders and debris made all advance impossible.","H"
162,"When there, a fresh altercation arose between them, in the course of which Drebber received a blow from the stick, in the pit of the stomach, perhaps, which killed him without leaving any mark.","L"
28,"From the middle of the gulf the point of the land itself is not visible at all; but the shoulder of a steep hill at the back can be made out faintly like a shadow on the sky.","L"
81,"A feeling of peace  sank into him, not unmingled with pride.","L"
183,"Their dread of the raving tyrant translated itself into a hasty ferocity of procedure.","H"
170,"When I reached him he was groping about frantically in the empty cab, and giving vent to the finest assorted collection of oaths that ever I listened to.","L"
58,"After you left I sent down to Stamford's for the Ordnance map of this portion of the moor, and my spirit has hovered over it all day.","L"
3,"""Well, then, go and fetch it,"" said Nurse, but she was not attending; she wanted to go on with what she was saying to Mrs C. about the grocer's daughter.","L"
133,"At first exciting, then it became boring and finally intolerable.","H"
98,"""I shall go grey, I fear, before the ring is on my finger,"" she said, slowly, keeping her gaze fastened upon him.","L"
39,"The autumn trees gleam in the yellow moonlight, in the light of harvest moons, the light which mellows the energy of labour, and smooths the stubble, and brings the wave lapping blue to the shore.","L"
20,"I might have said ""Yes,"" and gone back to nursery obscurity, and there, perhaps, mouldered for the rest of my life; but looking up at Madame, I saw in her countenance a something that made me think twice ere I decided.","L"
102,"Where the real sex feeling begins, timidity and distrust are its companions, heritage from old wicked days when love and violence went often hand in hand.","H"
42,"Your folly shall betray you into poverty, misery, starvation.","H"
30,"She turned her back on him contemptuously, and said curtly, ""Come  along, aunt,"" and went to the door leading to the passage.","L"
114,"It smeared the window where the Jew boy from Birmingham sat mugging up Greek with a wet towel round his head; where Dr. Malone sat up late writing another chapter in his monumental history of the college.","L"
100,"He gave that, too; and in the doorway paused for a moment to look at the flat face of the San Tome mountain with a faint frown.","L"
49,"""You are no ruin, sir - no lightning-struck tree: you are green and vigorous.","L"
54,"She had a great admiration for Mrs Levy, who was dying of cancer.","H"
136,"said his mother, hiding a glad smile and speaking curtly.","L"
8,"Is it good, is it bad, is it right or wrong?","L"
53,"He was  feeling vaguely, that in all his good intentions there was something  wanting.","L"
56,"But if Duffus, she began - here the omnibus stopped; she looked up; she rose "" - if Duffus thinks he can bully me,"" she said as she went down the steps, ""he'll find he's mistaken.""","H"
92,"It is true that we had made a strict resolution against firing, but if it seemed to them that I might be in danger they would not hesitate.","L"
69,"It was one's body feeling, not one's mind.","H"
196,"I had driven some distance when I put my hand into the pocket in which I usually kept Lucy's ring, and found that it was not there.","L"
173,"How pleasant it was in its air of perfect domestic comfort!","H"
38,"Giorgio Viola, whom he saw from afar, sitting on a bench under the front wall of the cottage, lifted his arm slightly to his loud hail.","L"
35,"My tale draws to its close: one word respecting my experience of married life, and one brief glance at the fortunes of those whose names have most frequently recurred in this narrative, and I have done.","L"
118,"To me he seems now all sacred, his locks are inaccessible, and, Lucy, I feel a sort of fear, when I look at his firm, marble chin, at his straight Greek features.","H"
109,"Evidently Lakamba's mercy went so far - for in a short while he came out from behind the curtain - but it did not go to the length of inducing him to make an extensive toilet.","H"
126,"Stars above, stars all round him; and from the stars under his feet rose a whisper full of entreaties and tears, and sorrowful faces flitted amongst the clusters of light filling the infinite space below.","L"
93,"So, between the old sinner and the young one the girl has had a pretty bad time.""","L"
17,"For they must fight tyranny to the death, she thought.","H"
71,"Nearly all of them were totally ruined - an irreparable loss.","H"
189,"Now and then he heard voices in the house, and the closing of bedroom doors, which showed that the building, at the top of which he sat, was inhabited in every one of its cells.","L"
158,"""In that field, Adele, I was walking late one evening about a fortnight since - the evening of the day you helped me to make hay in the orchard meadows; and, as I was tired with raking swaths, I sat down to rest me on a stile; and there I took out a little book and a pencil, and began to write about a misfortune that befell me long ago, and a wish I had for happy days to come: I was writing away very fast, though daylight was fading from the leaf, when something came up the path and stopped two yards off me.","L"
132,"Still she would hold off, and now she would assert for a brief season some of those prides and airs the due of her beauty which she was generally utterly without; would turn her head; would look so, over her shoulder, always with some Minta, Paul, or William Bankes at her side.","L"
19,"""Because I can't  allow any man to behave to me in that way,"" Cassandra replied, and she added, ""particularly when I know that he is engaged to some one else.""","L"
95,"A ferocious beast would surely have destroyed them and left their remains.","L"
82,"Her features lost the appearance of stony indifference that had exasperated her father into his outburst of anger and sorrow.","L"
99,"For this reason I saw a good deal of Sir Charles Baskerville.","L"
26,"Apparently she found there the confirmation of the words just said, for a feeling of grateful security lightened for her the weight of sorrow at the hour of parting.","H"
87,"She tried to whip up some feeling of affection, of pity.","L"
123,"If I DO go with him - if I DO make the sacrifice he urges, I will make it absolutely: I will throw all on the altar - heart, vitals, the entire victim.","H"
