"...1","text","arousal"
171,"During a deadly struggle against an irreconcilable enemy his life belonged to his country.","H"
31,"You, whom no persuasion can induce to pass a bull, however quiet he looks, would have firmly shown my housekeeper she had done wrong; then you would have gently and wisely admonished her; and at last, I dare say, provided she had seemed penitent, you would have very sweetly forgiven her.","L"
125,"You are aware that I am not a very sound sleeper, and since I have been on guard in this house my slumbers have been lighter than ever.","L"
10,"Her feeling of happiness returned to her, her unreasonable exaltation.","H"
160,"Great flocks of white birds wheeled screaming above the swaying tree-tops.","H"
184,"Fuller knowledge of the organization which produced such terrible results served to increase rather than to lessen the horror which it inspired in the minds of men.","H"
147,"He broke off a sentence and let it swim in his mind.","L"
191,"You quote an isolated sentence from my lecture, and appear to have some difficulty in understanding it.","L"
29,"I hope you have made a good bargain in case you come back safe from this adventure.""","L"
135,"And again, as she intercepted his cup in passing, and would stir the sugar, and put in the cream herself, ""I always did it for you at home; papa: nobody could do it as well, not even your own self.""","L"
14,"And he had never run a penny into debt; he had never cost his father a penny since he was fifteen; he had helped them at home out of his savings; he was educating his sister.","L"
67,"Mr. Helstone looked round uneasily once or twice, as if he wished her away; but she was gazing from the window, and did not seem to mind him: so he continued the perusal of his morning paper - a particularly interesting one it chanced to be, as new movements had just taken place in the Peninsula, and certain columns of the journal were rich in long dispatches from General Lord Wellington.","L"
98,"""I shall go grey, I fear, before the ring is on my finger,"" she said, slowly, keeping her gaze fastened upon him.","L"
18,"Mary rose, went to the table, spread out her papers under the green-shaded lamp and, with an action that was becoming a habit, twisted a lock of hair round and round in her fingers.","L"
56,"But if Duffus, she began - here the omnibus stopped; she looked up; she rose "" - if Duffus thinks he can bully me,"" she said as she went down the steps, ""he'll find he's mistaken.""","L"
181,"His legacy was suspense - a worse boon than despair.","H"
6,"What strength or courage could avail against an enemy armed with such mysterious powers?","L"
21,"Young Jefferson Hope rode on with his companions, gloomy and taciturn.","L"
74,"It had been otherwise in his time when men fought against tyranny, in the forests of Brazil, or on the plains of Uruguay, starving on half-raw beef without salt, half naked, with often only a knife tied to a stick for a weapon.","H"
115,"His Honor a pretty title, but still, not at the top of the tree.","L"
11,"When the  lieutenant turned his back on him Peyrol's pointing arm fell down by his  side; but he watched the lieutenant out of sight before he turned too  and moved in a contrary direction.","L"
59,"I hope this delay will not have increased the difficulty of securing it.""","L"
161,"The mill-windows were alight, the bell still rung loud, and now the little children came running in, in too great a hurry, let us hope, to feel very much nipped by the inclement air; and indeed, by contrast, perhaps the morning appeared rather favourable to them than otherwise, for they had often come to their work that winter through snow-storms, through heavy rain, through hard frost.","L"
100,"He gave that, too; and in the doorway paused for a moment to look at the flat face of the San Tome mountain with a faint frown.","L"
28,"From the middle of the gulf the point of the land itself is not visible at all; but the shoulder of a steep hill at the back can be made out faintly like a shadow on the sky.","L"
159,"It was a dreadful moment; unhappy; muddled; altogether wrong.","H"
34,"But what do YOU find insoluble, I asked him, looking at the mahogany man, the clean-shaven, rosy-gilled, mutton-fed man - "" ""The man in a newspaper office,"" North checked her, ""who knew your father.","L"
111,"""God grant me a little comfort before I die!""","L"
121,"The wise adviser would be the first victim, no doubt, and death would be his reward.","L"
50,"Perhaps you would have the kindness to spare me half an hour, for there are one or two things that I badly want to say to you.""","L"
35,"My tale draws to its close: one word respecting my experience of married life, and one brief glance at the fortunes of those whose names have most frequently recurred in this narrative, and I have done.","L"
128,"Almayer's elaborately calm demeanour gave way in a moment to an outburst of violent indignation.","H"
83,"The risk of it was not so much deadly as particularly odious.","L"
87,"She tried to whip up some feeling of affection, of pity.","L"
26,"Apparently she found there the confirmation of the words just said, for a feeling of grateful security lightened for her the weight of sorrow at the hour of parting.","L"
69,"It was one's body feeling, not one's mind.","L"
124,"Without hurry or flutter he opened a book; found his place; read out a passage, upon which old Curry nodded, and made a note in the great volume that lay open in front of him.","L"
60,"Might I ask you to hand me my violin, and we will postpone all further thought upon this business until we have had the advantage of meeting Dr. Mortimer and Sir Henry Baskerville in the morning.""","L"
9,"A bitterly mocking smile  touched the lips of the young man.","L"
158,"""In that field, Adele, I was walking late one evening about a fortnight since - the evening of the day you helped me to make hay in the orchard meadows; and, as I was tired with raking swaths, I sat down to rest me on a stile; and there I took out a little book and a pencil, and began to write about a misfortune that befell me long ago, and a wish I had for happy days to come: I was writing away very fast, though daylight was fading from the leaf, when something came up the path and stopped two yards off me.","L"
166,"I was certainly feeling very weary, so I obeyed his injunction.","L"
71,"Nearly all of them were totally ruined - an irreparable loss.","H"
47,"I could comprehend the feeling, and share both its strength and truth.","L"
3,"""Well, then, go and fetch it,"" said Nurse, but she was not attending; she wanted to go on with what she was saying to Mrs C. about the grocer's daughter.","L"
48,"Because he's a priest, a mystery monger, he thought; feeling his coldness; this guardian of beautiful words.","L"
70,"I am conscious myself of a weight at my heart and a feeling of impending danger - ever present dan- ger, which is the more terrible because I am unable to define it.","H"
4,"Ultimately the sailor, disgusted with the sordid meanness of that impenitent thief, deserted from the schooner.","H"
112,"In more fertile spots the observer would have come to the conclusion that one of those great herds of bisons which graze upon the prairie land was approaching him.","L"
93,"So, between the old sinner and the young one the girl has had a pretty bad time.""","L"
68,"He took the tumbler with a shaking hand, and as he drank his teeth chattered against the glass which he drained and set down heavily on the table.","L"
