"...1","text","arousal"
13,"He had almost forgotten why he was there, and dreamily he could see all his past life on the smooth and boundless surface that glittered before his eyes.","L"
36,"On the death of Sir Charles we inquired for this young gentleman and found that he had been farming in Canada.","L"
67,"Mr. Helstone looked round uneasily once or twice, as if he wished her away; but she was gazing from the window, and did not seem to mind him: so he continued the perusal of his morning paper - a particularly interesting one it chanced to be, as new movements had just taken place in the Peninsula, and certain columns of the journal were rich in long dispatches from General Lord Wellington.","L"
104,"I should say she has a good deal of literary feeling.""","L"
190,"After supper, he began to ask me many questions, of where I had been, what I had been doing, how I had found him out; but I gave him only very partial replies: it was too late to enter into particulars that night.","L"
160,"Great flocks of white birds wheeled screaming above the swaying tree-tops.","H"
111,"""God grant me a little comfort before I die!""","H"
65,"But now her true self had returned matured in its mysterious exile,  hopeful and eager for love.","H"
27,"Good-by, my wise, dear, grave little god-daughter.","L"
106,"""Your nervous system bore a good share of the suffering?""","H"
68,"He took the tumbler with a shaking hand, and as he drank his teeth chattered against the glass which he drained and set down heavily on the table.","H"
131,"""Living, as I do, in an educated and scientific atmosphere, I could not have conceived that the first principles of zoology were so little known.","L"
159,"It was a dreadful moment; unhappy; muddled; altogether wrong.","L"
37,"She kept a fine flock of yellow chickens, sketched a little, certain rose-trees in the garden were committed specially to her care; and what with the care of the house, the care of the chickens, and the care of the poor, she scarcely knew what it was to have an idle minute.","L"
161,"The mill-windows were alight, the bell still rung loud, and now the little children came running in, in too great a hurry, let us hope, to feel very much nipped by the inclement air; and indeed, by contrast, perhaps the morning appeared rather favourable to them than otherwise, for they had often come to their work that winter through snow-storms, through heavy rain, through hard frost.","L"
2,"Don't  bang his head,"" he  cried with unexpected tenderness.","H"
22,"May God long preserve to you the blessings of peace and innocence!","L"
23,"They meant that she would in all probability marry some young man whose mother they respected.","L"
198,"The peaceful penetration of Maple White Land was the pressing subject before us.","L"
192,"Shirley showed she had been sincere in saying she should be glad of Caroline's society, by frequently seeking it; and, indeed, if she had not sought it, she would not have had it, for Miss Helstone was slow to make fresh acquaintance.","L"
149,"His heart was beating violently with the fear of this liberty.","L"
188,"It seemed to me that the mists in my own mind were gradually clearing away, and I began to have a dim, vague perception of the truth.","L"
122,"Katharine had forgotten to remove this token of her star-gazing.","L"
78,"Sykes, for instance, when his dressing-shop was set on fire and burned to the ground, when the cloth was torn from his tenters and left in shreds in the field, took no steps to discover or punish the miscreants: he gave up as tamely as a rabbit under the jaws of a ferret.","H"
128,"Almayer's elaborately calm demeanour gave way in a moment to an outburst of violent indignation.","L"
90,"They'll say that all their lives, she thought, and an exquisite scent of olives and oil and juice rose from the great brown dish as Marthe, with a little flourish, took the cover off.","H"
52,"That girl would have had a right to hate me, except that, when school was over and her companions departing, I ordered her to stay, and when they were gone, I did what I had never done to one among them before -  pressed her to my heart and kissed her cheek.","L"
112,"In more fertile spots the observer would have come to the conclusion that one of those great herds of bisons which graze upon the prairie land was approaching him.","L"
47,"I could comprehend the feeling, and share both its strength and truth.","L"
148,"Cold abstraction, fleshless skeleton, daughter, mother, and mate of Death!","H"
79,"""Truth is not for everybody to know,"" mumbled Peyrol, with a sinking  sensation as though the very ground were going soft under his feet.","L"
154,"While giving way to his bitter mirth, the  rover had caught sight of Arlette's face at the, open window of the  lieutenant's room.","L"
186,"I stayed for the most part at Coombe Tracey, and only used the hut upon the moor when it was necessary to be near the scene of action.","L"
50,"Perhaps you would have the kindness to spare me half an hour, for there are one or two things that I badly want to say to you.""","L"
41,"""You would lose your money,"" Sherlock Holmes remarked calmly.","L"
175,"This caused Peyrol to look  at him with intense astonishment.","L"
66,"He stepped back to look at his work admiringly, feeling very proud.","L"
21,"Young Jefferson Hope rode on with his companions, gloomy and taciturn.","L"
62,"The last was effected without difficulty by a company of soldiers swarming with a rush over the gangways as she lay alongside the quay; but the lieutenant charged with the duty of arresting the telegraphist halted on the way before the only cafe in Esmeralda, where he distributed some brandy to his men, and refreshed himself at the expense of the owner, a known Ribierist.","L"
29,"I hope you have made a good bargain in case you come back safe from this adventure.""","L"
164,"Distrust, the very feeling I dreaded, appeared in Hannah's face.","L"
80,"""So am I, Joe,"" replied Shirley, who had rather a pleasure in teasing the overlooker, by persisting in talking on subjects with which he opined she, as a woman, had no right to meddle - ""partly, at least.","L"
117,"""As white as clay or death,"" was responded.","H"
155,"It might have been the shadow of a driving cloud, so noiseless and rapid was its passage, but for the trail of disturbed grass, whose feathery heads trembled and swayed for a long time in the moonlight before they rested motionless and gleaming, like a design of silver sprays embroidered on a sombre background.","L"
116,"He filled her with terror and with an almost unbearable feeling of pity.","H"
60,"Might I ask you to hand me my violin, and we will postpone all further thought upon this business until we have had the advantage of meeting Dr. Mortimer and Sir Henry Baskerville in the morning.""","L"
119,"Entering the house, they repaired to the darkened dining-room, through the open windows of which apartment stole the evening air, bearing the perfume of flowers from the garden, the very distant sound of far-retreating steps from the road, and a soft, vague murmur whose origin Caroline explained by the remark, uttered as she stood listening at the casement, ""Shirley, I hear the beck in the Hollow.""","H"
187,"However, here we possess the advantage of having only one South American Government hanging around for plunder out of the deal.","L"
10,"Her feeling of happiness returned to her, her unreasonable exaltation.","L"
144,"Sitting on the floor with her arms round Mrs. Ramsay's knees, close as she could get, smiling to think that Mrs. Ramsay would never know the reason of that pressure, she imagined how in the chambers of the mind and heart of the woman who was, physically, touching her, were stood, like the treasures in the tombs of kings, tablets bearing sacred inscriptions, which if one could spell them out, would teach one everything, but they would never be offered openly, never made public.","L"
