"...1","text","arousal"
143,"Scorn for scorn, contempt for contempt, hate for hate.","H"
164,"Distrust, the very feeling I dreaded, appeared in Hannah's face.","H"
172,"Then, with a frightful heave they shot the poor wretch over the precipice.","H"
185,"It confirmed some obscure feeling of his about his own character.","H"
41,"""You would lose your money,"" Sherlock Holmes remarked calmly.","H"
107,"""How can I love the man you're engaged to marry?""","H"
126,"Stars above, stars all round him; and from the stars under his feet rose a whisper full of entreaties and tears, and sorrowful faces flitted amongst the clusters of light filling the infinite space below.","H"
118,"To me he seems now all sacred, his locks are inaccessible, and, Lucy, I feel a sort of fear, when I look at his firm, marble chin, at his straight Greek features.","H"
72,"I resolved, in the depth of my heart, that I would be most moderate - most correct; and, having reflected a few minutes in order to arrange coherently what I had to say, I told her all the story of my sad childhood.","L"
2,"Don't  bang his head,"" he  cried with unexpected tenderness.","H"
104,"I should say she has a good deal of literary feeling.""","L"
65,"But now her true self had returned matured in its mysterious exile,  hopeful and eager for love.","H"
84,"So she flitted - her figure, enlarging as it was, still allowed her to glide between table and chair - hither and thither; removed the fire-screen and set a light, before he could stop her, to the grudging lodging-house fire.","H"
141,"Nor was I; but I was a good deal interested and excited.","L"
95,"A ferocious beast would surely have destroyed them and left their remains.","H"
129,"The inhabitants got used to the sight of comings and goings between Almayer's house and the vessel, now moored to the opposite bank, and speculation as to the feverish activity displayed by Almayer's boatmen in repairing old canoes ceased to interfere with the due discharge of domestic duties by the women of the Settlement.","L"
183,"Their dread of the raving tyrant translated itself into a hasty ferocity of procedure.","L"
155,"It might have been the shadow of a driving cloud, so noiseless and rapid was its passage, but for the trail of disturbed grass, whose feathery heads trembled and swayed for a long time in the moonlight before they rested motionless and gleaming, like a design of silver sprays embroidered on a sombre background.","L"
195,"Her father refused to have anything to do with her because she had married without his consent and per- haps for one or two other reasons as well.","L"
88,"And, perhaps, one day his snow-sepulchre will open, spring's softness will return, the sun and south-wind will reach him; the budding of hedges, and carolling of birds, and singing of liberated streams, will call him to kindly resurrection.","H"
52,"That girl would have had a right to hate me, except that, when school was over and her companions departing, I ordered her to stay, and when they were gone, I did what I had never done to one among them before -  pressed her to my heart and kissed her cheek.","H"
78,"Sykes, for instance, when his dressing-shop was set on fire and burned to the ground, when the cloth was torn from his tenters and left in shreds in the field, took no steps to discover or punish the miscreants: he gave up as tamely as a rabbit under the jaws of a ferret.","H"
12,"""Was ever such bad luck and such bad management, too?","L"
127,"He was a long chap, with a red face, the lower part muffled round----"" ""That will do,"" cried Holmes.","L"
130,"The woman's words came with an intense earnestness which carried conviction with them.","L"
17,"For they must fight tyranny to the death, she thought.","H"
44,"Paul set forth on a pilgrimage to Rome; the house was left quite empty, but for me, a servant, and a poor deformed and imbecile pupil, a sort of cretin, whom her stepmother in a distant province would not allow to return home.","L"
42,"Your folly shall betray you into poverty, misery, starvation.","H"
154,"While giving way to his bitter mirth, the  rover had caught sight of Arlette's face at the, open window of the  lieutenant's room.","L"
145,"I only had three pairs in the world - the new brown, the old black, and the patent leath- ers, which I am wearing.","L"
75,"""My daughter is very young--she is scarce of an age to marry.""","L"
13,"He had almost forgotten why he was there, and dreamily he could see all his past life on the smooth and boundless surface that glittered before his eyes.","H"
81,"A feeling of peace  sank into him, not unmingled with pride.","L"
199,"Chapter 8  First Report of Dr. Watson   From this point onward I will follow the course of events by transcribing my own letters to Mr. Sherlock Holmes which lie before me on the table.","L"
19,"""Because I can't  allow any man to behave to me in that way,"" Cassandra replied, and she added, ""particularly when I know that he is engaged to some one else.""","L"
190,"After supper, he began to ask me many questions, of where I had been, what I had been doing, how I had found him out; but I gave him only very partial replies: it was too late to enter into particulars that night.","L"
32,"""Their last move of eight o'clock last night was to organize themselves into a Monterist Committee which sits, as far as I know, in a posada kept by a retired Mexican bull-fighter, a great politician, too, whose name I have forgotten.","L"
54,"She had a great admiration for Mrs Levy, who was dying of cancer.","L"
186,"I stayed for the most part at Coombe Tracey, and only used the hut upon the moor when it was necessary to be near the scene of action.","L"
66,"He stepped back to look at his work admiringly, feeling very proud.","H"
149,"His heart was beating violently with the fear of this liberty.","H"
139,"""An Arab trader of this place has sent the information about your goings on here to Batavia, a couple of months ago,"" said the officer.","L"
22,"May God long preserve to you the blessings of peace and innocence!","L"
189,"Now and then he heard voices in the house, and the closing of bedroom doors, which showed that the building, at the top of which he sat, was inhabited in every one of its cells.","L"
77,"On this occasion her arrogant feeling that she could direct everybody dwindled away.","L"
123,"If I DO go with him - if I DO make the sacrifice he urges, I will make it absolutely: I will throw all on the altar - heart, vitals, the entire victim.","L"
119,"Entering the house, they repaired to the darkened dining-room, through the open windows of which apartment stole the evening air, bearing the perfume of flowers from the garden, the very distant sound of far-retreating steps from the road, and a soft, vague murmur whose origin Caroline explained by the remark, uttered as she stood listening at the casement, ""Shirley, I hear the beck in the Hollow.""","L"
169,"I had the same feeling of mystery and danger around us.","H"
138,"At last in the stress of her fear she did that which might have daunted the bravest or most active man, for by the aid of the growth of ivy which covered  and still covers  the south wall she came down from under the eaves, and so homeward across the moor, there being three leagues betwixt the Hall and her father's farm.","H"
196,"I had driven some distance when I put my hand into the pocket in which I usually kept Lucy's ring, and found that it was not there.","L"
