"...1","text","arousal"
74,"The person that  came nearest to trying his composure was a certain naval captain with a  patch over one eye and a very threadbare uniform coat who was doing some  administrative work at the Port Office.","L"
200,"They meant that she would in all probability marry some young man whose mother they respected.","L"
178,"you are a white woman, and ought to pray to a woman-god!""","L"
46,"At last in the stress of her fear she did that which might have daunted the bravest or most active man, for by the aid of the growth of ivy which covered  and still covers  the south wall she came down from under the eaves, and so homeward across the moor, there being three leagues betwixt the Hall and her father's farm.","H"
1,"The woman's words came with an intense earnestness which carried conviction with them.","H"
22,"Every good, true, vigorous feeling I have gathers impulsively round him.","H"
185,"You quote an isolated sentence from my lecture, and appear to have some difficulty in understanding it.","L"
134,"Her father refused to have anything to do with her because she had married without his consent and per- haps for one or two other reasons as well.","L"
10,"He was  feeling vaguely, that in all his good intentions there was something  wanting.","L"
43,"During a deadly struggle against an irreconcilable  enemy his life belonged to his country.","H"
172,"""Because I have never been without that feeling that something malevolent was watching us.","H"
203,"I should say she has a good deal of literary feeling.""","L"
48,"For that matter, so great a gap separates these ape-men from the primitive animals which have survived upon this plateau, that it is inadmissible to think that they could have developed where we find them.""","H"
115,"And he had never run a penny into debt; he had never cost his father a penny since he was fifteen; he had helped them at home out of his savings; he was educating his sister.","H"
193,"This caused Peyrol to look  at him with intense astonishment.","H"
90,"Great flocks of white birds wheeled screaming above the swaying tree-tops.","H"
44,"From the Sierra Nevada to Nebraska, and from the Yellowstone River in the north to the Colorado upon the south, is a region of desolation and silence.","L"
155,"Your glory shall be great, and your reward in powerful friendship.","H"
218,"Their dread of the raving tyrant translated itself into a hasty ferocity of procedure.","H"
47,"""And mind,"" he continued, ""don't  bother me with any details of the anatomical process, or any notice of the condition of the entrails: let your operation be conducted in silence: tiens-toi tranquille, enfant; comprends-tu?""","L"
107,"I had the same feeling of mystery and danger around us.","H"
145,"Trouble no quiet, kind heart; leave sunny imaginations hope.","L"
39,"Mr. Helstone looked round uneasily once or twice, as if he wished her away; but she was gazing from the window, and did not seem to mind him: so he continued the perusal of his morning paper - a particularly interesting one it chanced to be, as new movements had just taken place in the Peninsula, and certain columns of the journal were rich in long dispatches from General Lord Wellington.","H"
236,"She was like a savage wreaking vengeance upon some brazen victim.","H"
160,"A terrible scream - a prolonged yell of horror and anguish burst out of the silence of the moor.","H"
209,"And if valleys, she said to herself half closing her eyes, then white trees; then icy hollows, and nightingales, two nightingales calling to each other, calling and answering each other across the valleys.","L"
20,"Her feeling of happiness returned to her, her unreasonable exaltation.","H"
165,"Was he our malignant enemy, or was he by chance our guardian angel?","H"
123,"It was a foggy, cloudy morning, and a dun-coloured veil hung over the house-tops, looking like the reflection of the mud-coloured streets beneath.","L"
180,"Evidently Lakamba's mercy went so far - for in a short while he came out from behind the curtain - but it did not go to the length of inducing him to make an extensive toilet.","L"
204,"When he got as far as the little hollow  in the ground from which the mastheads of the tartane could be seen, he  squatted and waited.","L"
125,"""A false step yonder means death to man or beast.","H"
49,"Stars above, stars all round him; and from the stars under his feet rose a whisper full of entreaties and tears, and sorrowful faces flitted amongst the clusters of light filling the infinite space below.","H"
120,"""In that field, Adele, I was walking late one evening about a fortnight since - the evening of the day you helped me to make hay in the orchard meadows; and, as I was tired with raking swaths, I sat down to rest me on a stile; and there I took out a little book and a pencil, and began to write about a misfortune that befell me long ago, and a wish I had for happy days to come: I was writing away very fast, though daylight was fading from the leaf, when something came up the path and stopped two yards off me.","L"
196,"The unfortunate delay can be apportioned between a blundering pilot and an intrusive sandbank.","L"
16,"But now her true self had returned matured in its mysterious exile,  hopeful and eager for love.","H"
38,"For an instant I read hatred and menace in the evil eyes.","H"
57,"Then, with a frightful heave they shot the poor wretch over the precipice.","H"
17,"""My daughter is very young--she is scarce of an age to marry.""","L"
239,"Mary rose, went to the table, spread out her papers under the green-shaded lamp and, with an action that was becoming a habit, twisted a lock of hair round and round in her fingers.","H"
98,"He broke off a sentence and let it swim in his mind.","L"
183,"So she flitted - her figure, enlarging as it was, still allowed her to glide between table and chair - hither and thither; removed the fire-screen and set a light, before he could stop her, to the grudging lodging-house fire.","H"
188,"""I've got a good deal to say,"" our prisoner said slowly.","L"
75,"However, here we possess the advantage of having only one South American Government hanging around for plunder out of the deal.","L"
58,"You, whom no persuasion can induce to pass a bull, however quiet he looks, would have firmly shown my housekeeper she had done wrong; then you would have gently and wisely admonished her; and at last, I dare say, provided she had seemed penitent, you would have very sweetly forgiven her.","L"
164,"The peaceful penetration of Maple White Land was the pressing subject before us.","L"
24,"""Well, then, go and fetch it,"" said Nurse, but she was not attending; she wanted to go on with what she was saying to Mrs C. about the grocer's daughter.","L"
186,"I resolved, in the depth of my heart, that I would be most moderate - most correct; and, having reflected a few minutes in order to arrange coherently what I had to say, I told her all the story of my sad childhood.","L"
