"...1","text","arousal"
12,"The autumn trees gleam in the yellow moonlight, in the light of harvest moons, the light which mellows the energy of labour, and smooths the stubble, and brings the wave lapping blue to the shore.","L"
63,"Scorn for scorn, contempt for contempt, hate for hate.","H"
108,"For the whole world seemed to have dissolved in this early morning hour into a pool of thought, a deep basin of reality, and one could almost fancy that had Mr. Carmichael spoken, for instance, a little tear would have rent the surface pool.","L"
221,"Every moment he had to wipe his streaming face with his bare fore-arm; he had flung off his coat, and had turned up the sleeves of his shirt high above the elbows; but he kept on his head the large cocked hat with white plumes.","L"
96,"He had no fears for Katharine, but there was a suspicion at the back of his mind that Cassandra might have been, innocently and ignorantly, led into some foolish situation in one of their unshepherded dissipations.","H"
129,"What she said was very simple, but her words, even ""Your tea, William,"" were set down as gently and cautiously and exactly as the feet of a Persian cat stepping among China ornaments.","H"
167,"The Admiral, who had been all the time looking absently at the Amelia  keeping her station with the tartane in tow, said:    ""You have a very smart little ship, Vincent.","L"
72,"Your folly shall betray you into poverty, misery, starvation.","H"
161,"From the middle of the gulf the point of the land itself is not visible at all; but the shoulder of a steep hill at the back can be made out faintly like a shadow on the sky.","L"
138,"she cried, feeling the old horror come back - to want and want and not to have.","H"
6,"Perhaps you would have the kindness to spare me half an hour, for there are one or two things that I badly want to say to you.""","H"
56,"How pleasant it was in its air of perfect domestic comfort!","H"
8,"It was one's body feeling, not one's mind.","L"
42,"For that reason, knowing what was before them - love and ambition and being wretched alone in dreary places - she had often the feeling, Why must they grow up and lose it all?","H"
15,"Now and then he heard voices in the house, and the closing of bedroom doors, which showed that the building, at the top of which he sat, was inhabited in every one of its cells.","L"
141,"He rose, and stirred about the papers on his table, as if in doubt; he then picked up a manuscript, and after spreading it smoothly upon his knee, he looked up at Katharine suspiciously.","L"
84,"Fuller knowledge of the organization which produced such terrible results served to increase rather than to lessen the horror which it inspired in the minds of men.","L"
171,"I hope you have made a good bargain in case you come back safe from this adventure.""","H"
240,"They gave him his dinner in a stone hut like a cubical boulder, with no door or windows in its two openings; a bright fire of sticks  brought on muleback from the first valley below  burning outside, sent in a wavering glare; and two candles in tin candlesticks - lighted, it was explained to him, in his honour - stood on a sort of rough camp table, at which he sat on the right hand of the chief.","L"
206,"""Since the tragedy, Mr. Holmes, there have come to my ears several incidents which are hard to reconcile with the settled order of Nature.""","L"
19,"Is it good, is it bad, is it right or wrong?","L"
51,"I only had three pairs in the world - the new brown, the old black, and the patent leath- ers, which I am wearing.","L"
28,"When the  lieutenant turned his back on him Peyrol's pointing arm fell down by his  side; but he watched the lieutenant out of sight before he turned too  and moved in a contrary direction.","L"
234,"""Because I can't  allow any man to behave to me in that way,"" Cassandra replied, and she added, ""particularly when I know that he is engaged to some one else.""","H"
59,"""Let Miss Eyre be seated,"" said he: and there was something in the forced stiff bow, in the impatient yet formal tone, which seemed further to express, ""What the deuce is it to me whether Miss Eyre be there or not?","L"
159,"Might I ask you to hand me my violin, and we will postpone all further thought upon this business until we have had the advantage of meeting Dr. Mortimer and Sir Henry Baskerville in the morning.""","L"
133,"For a moment it stayed trembling in a painful but exciting ecstasy in the air.","H"
65,"""Good-morning,"" again said Moore, and finally vanished.","L"
213,"Distrust, the very feeling I dreaded, appeared in Hannah's face.","H"
229,"My tale draws to its close: one word respecting my experience of married life, and one brief glance at the fortunes of those whose names have most frequently recurred in this narrative, and I have done.","L"
169,"""You would lose your money,"" Sherlock Holmes remarked calmly.","L"
131,"""Well, it's up to you to say what you will do,"" said he; ""for my part I have a score to settle with these monkey-folk, and if it ends by wiping them off the face of the earth I don't  see that the earth need fret about it.","H"
170,"On this occasion her arrogant feeling that she could direct everybody dwindled away.","L"
181,"""I shall go grey, I fear, before the ring is on my finger,"" she said, slowly, keeping her gaze fastened upon him.","L"
212,"""Was ever such bad luck and such bad management, too?","L"
70,"A bitterly mocking smile  touched the lips of the young man.","L"
87,"You are aware that I am not a very sound sleeper, and since I have been on guard in this house my slumbers have been lighter than ever.","L"
91,"Miss Ingram was a mark beneath jealousy: she was too inferior to excite the feeling.","L"
238,"The marks in the road showed me that the horse had wandered on in a way which would have been impossible had there been anyone in charge of it.","L"
79,"After you left I sent down to Stamford's for the Ordnance map of this portion of the moor, and my spirit has hovered over it all day.","H"
40,"I might have said ""Yes,"" and gone back to nursery obscurity, and there, perhaps, mouldered for the rest of my life; but looking up at Madame, I saw in her countenance a something that made me think twice ere I decided.","L"
30,"Paul set forth on a pilgrimage to Rome; the house was left quite empty, but for me, a servant, and a poor deformed and imbecile pupil, a sort of cretin, whom her stepmother in a distant province would not allow to return home.","L"
7,"I had driven some distance when I put my hand into the pocket in which I usually kept Lucy's ring, and found that it was not there.","H"
53,"She had a great admiration for Mrs Levy, who was dying of cancer.","L"
3,"""'No good can ever come of falsehood, mother,' she said.","L"
175,"But if Duffus, she began - here the omnibus stopped; she looked up; she rose "" - if Duffus thinks he can bully me,"" she said as she went down the steps, ""he'll find he's mistaken.""","L"
228,"His Honor a pretty title, but still, not at the top of the tree.","L"
152,"""Their last move of eight o'clock last night was to organize themselves into a Monterist Committee which sits, as far as I know, in a posada kept by a retired Mexican bull-fighter, a great politician, too, whose name I have forgotten.","L"
