"...1","text","arousal"
12,"The autumn trees gleam in the yellow moonlight, in the light of harvest moons, the light which mellows the energy of labour, and smooths the stubble, and brings the wave lapping blue to the shore.","L"
114,"So, between the old sinner and the young one the girl has had a pretty bad time.""","H"
141,"He rose, and stirred about the papers on his table, as if in doubt; he then picked up a manuscript, and after spreading it smoothly upon his knee, he looked up at Katharine suspiciously.","L"
156,"At the same time, he felt drawn to her as he had never been before; partly, no doubt, because she was more independent of him than in London, and seemed to be attached firmly to a world where he had no place at all.","L"
71,"The ceremony of ancestor-worship had been more than usually oppressive to her.","L"
167,"The Admiral, who had been all the time looking absently at the Amelia  keeping her station with the tartane in tow, said:    ""You have a very smart little ship, Vincent.","L"
54,"Already, of course, he had no friendly feeling to his successful rival.","L"
176,"He had almost forgotten why he was there, and dreamily he could see all his past life on the smooth and boundless surface that glittered before his eyes.","L"
122,"He stepped back to look at his work admiringly, feeling very proud.","L"
3,"""'No good can ever come of falsehood, mother,' she said.","L"
27,"It will excite bad feeling - make a stir - cause perhaps fatal consequences.""","H"
240,"They gave him his dinner in a stone hut like a cubical boulder, with no door or windows in its two openings; a bright fire of sticks  brought on muleback from the first valley below  burning outside, sent in a wavering glare; and two candles in tin candlesticks - lighted, it was explained to him, in his honour - stood on a sort of rough camp table, at which he sat on the right hand of the chief.","L"
106,"""The place behind the curtain is empty,"" gasped Taminah, catching her breath between the words.","L"
46,"At last in the stress of her fear she did that which might have daunted the bravest or most active man, for by the aid of the growth of ivy which covered  and still covers  the south wall she came down from under the eaves, and so homeward across the moor, there being three leagues betwixt the Hall and her father's farm.","L"
99,"Her features lost the appearance of stony indifference that had exasperated her father into his outburst of anger and sorrow.","L"
172,"""Because I have never been without that feeling that something malevolent was watching us.","L"
64,"It is true that we had made a strict resolution against firing, but if it seemed to them that I might be in danger they would not hesitate.","L"
238,"The marks in the road showed me that the horse had wandered on in a way which would have been impossible had there been anyone in charge of it.","L"
121,"Cigarette ends, little bits of silver paper, orange peel - all the litter of the day was swept off the pavement and still the carts plodded, and the cabs trotted, indefatigably, along the dowdy pavements of Kensington, under the sparkling lights of Mayfair, carrying ladies with high head dresses and gentlemen in white waistcoats along the hammered dry roads which looked in the moonlight as if they were plated with silver.","L"
77,"It confirmed some obscure feeling of his about his own character.","L"
209,"And if valleys, she said to herself half closing her eyes, then white trees; then icy hollows, and nightingales, two nightingales calling to each other, calling and answering each other across the valleys.","L"
61,"For this reason I saw a good deal of Sir Charles Baskerville.","L"
20,"Her feeling of happiness returned to her, her unreasonable exaltation.","H"
78,"His mother possessed a good development of benevolence, but he owned a better and larger.","L"
149,"They'll say that all their lives, she thought, and an exquisite scent of olives and oil and juice rose from the great brown dish as Marthe, with a little flourish, took the cover off.","L"
14,"Young Jefferson Hope rode on with his companions, gloomy and taciturn.","L"
96,"He had no fears for Katharine, but there was a suspicion at the back of his mind that Cassandra might have been, innocently and ignorantly, led into some foolish situation in one of their unshepherded dissipations.","L"
49,"Stars above, stars all round him; and from the stars under his feet rose a whisper full of entreaties and tears, and sorrowful faces flitted amongst the clusters of light filling the infinite space below.","L"
75,"However, here we possess the advantage of having only one South American Government hanging around for plunder out of the deal.","L"
57,"Then, with a frightful heave they shot the poor wretch over the precipice.","L"
76,"But what do YOU find insoluble, I asked him, looking at the mahogany man, the clean-shaven, rosy-gilled, mutton-fed man - "" ""The man in a newspaper office,"" North checked her, ""who knew your father.","L"
187,"Looking through the darkness, she marked the swelling ground and the tree.","L"
100,"Thus we find such modern creatures as the tapir - an animal with quite a respectable length of pedigree - the great deer, and the ant-eater in the companionship of reptilian forms of jurassic type.","L"
164,"The peaceful penetration of Maple White Land was the pressing subject before us.","L"
227,"I could comprehend the feeling, and share both its strength and truth.","L"
153,"At first exciting, then it became boring and finally intolerable.","H"
177,"There was the compact; to resist tyranny to the death.","H"
239,"Mary rose, went to the table, spread out her papers under the green-shaded lamp and, with an action that was becoming a habit, twisted a lock of hair round and round in her fingers.","L"
51,"I only had three pairs in the world - the new brown, the old black, and the patent leath- ers, which I am wearing.","L"
199,"As often happens in the gulf when the showers during the first part of the night had been frequent and heavy, the darkness had thinned considerably towards the morning though there were no signs of daylight as yet.","L"
158,"A feeling of peace  sank into him, not unmingled with pride.","L"
58,"You, whom no persuasion can induce to pass a bull, however quiet he looks, would have firmly shown my housekeeper she had done wrong; then you would have gently and wisely admonished her; and at last, I dare say, provided she had seemed penitent, you would have very sweetly forgiven her.","L"
213,"Distrust, the very feeling I dreaded, appeared in Hannah's face.","H"
115,"And he had never run a penny into debt; he had never cost his father a penny since he was fifteen; he had helped them at home out of his savings; he was educating his sister.","L"
212,"""Was ever such bad luck and such bad management, too?","L"
184,"He need fear no desertion as long as some hope remains of that enormous plunder turning up.","L"
86,"The inhabitants got used to the sight of comings and goings between Almayer's house and the vessel, now moored to the opposite bank, and speculation as to the feverish activity displayed by Almayer's boatmen in repairing old canoes ceased to interfere with the due discharge of domestic duties by the women of the Settlement.","L"
193,"This caused Peyrol to look  at him with intense astonishment.","H"
