"...1","text","arousal"
225,"Anybody may blame me who likes, when I add further, that, now and then, when I took a walk by myself in the grounds; when I went down to the gates and looked through them along the road; or when, while Adele played with her nurse, and Mrs. Fairfax made jellies in the storeroom, I climbed the three staircases, raised the trap-door of the attic, and having reached the leads, looked out afar over sequestered field and hill, and along dim sky-line - that then I longed for a power of vision which might overpass that limit; which might reach the busy world, towns, regions full of life I had heard of but never seen - that then I desired more of practical experience than I possessed; more of intercourse with my kind, of acquaintance with variety of character, than was here within my reach.","L"
173,"It might have been the shadow of a driving cloud, so noiseless and rapid was its passage, but for the trail of disturbed grass, whose feathery heads trembled and swayed for a long time in the moonlight before they rested motionless and gleaming, like a design of silver sprays embroidered on a sombre background.","L"
216,"What strength or courage could avail against an enemy armed with such mysterious powers?","H"
123,"It was a foggy, cloudy morning, and a dun-coloured veil hung over the house-tops, looking like the reflection of the mud-coloured streets beneath.","L"
200,"They meant that she would in all probability marry some young man whose mother they respected.","L"
154,"With me, then, it seems, you cannot go: but if you are sincere in your offer, I will, while in town, speak to a married missionary, whose wife needs a coadjutor.","H"
163,"Giorgio Viola, whom he saw from afar, sitting on a bench under the front wall of the cottage, lifted his arm slightly to his loud hail.","L"
130,"She tried to whip up some feeling of affection, of pity.","L"
67,"they smile when sordid souls triumph, and feeble ones weep over their destruction.","H"
119,"And, perhaps, one day his snow-sepulchre will open, spring's softness will return, the sun and south-wind will reach him; the budding of hedges, and carolling of birds, and singing of liberated streams, will call him to kindly resurrection.","L"
160,"A terrible scream - a prolonged yell of horror and anguish burst out of the silence of the moor.","H"
33,"Then, with a wave of the hand dictated by centuries of tradition, Mrs Larpent drew back her foot, as if she had encroached upon one of the chalk marks which decorate academic lintels and, signifying that Mrs Lathom, wife of the Divinity professor, should precede her, they passed out into the rain.","L"
222,"Nearly all of them were totally ruined - an irreparable loss.","H"
31,"A happy marriage, she thought, that's what I was feeling all the time.","H"
13,"When I reached him he was groping about frantically in the empty cab, and giving vent to the finest assorted collection of oaths that ever I listened to.","H"
68,"It had been otherwise in his time when men fought against tyranny, in the forests of Brazil, or on the plains of Uruguay, starving on half-raw beef without salt, half naked, with often only a knife tied to a stick for a weapon.","H"
126,"""Living, as I do, in an educated and scientific atmosphere, I could not have conceived that the first principles of zoology were so little known.","L"
228,"His Honor a pretty title, but still, not at the top of the tree.","L"
95,"He filled her with terror and with an almost unbearable feeling of pity.","H"
211,"On the other hand a wild chaos of boulders and debris made all advance impossible.","H"
178,"you are a white woman, and ought to pray to a woman-god!""","H"
134,"Her father refused to have anything to do with her because she had married without his consent and per- haps for one or two other reasons as well.","H"
168,"The greatest demonstration of all, however, was at the entrance of my new acquaintance, Professor Challenger, when he passed down to take his place at the extreme end of the front row of the platform.","H"
129,"What she said was very simple, but her words, even ""Your tea, William,"" were set down as gently and cautiously and exactly as the feet of a Persian cat stepping among China ornaments.","L"
171,"I hope you have made a good bargain in case you come back safe from this adventure.""","L"
234,"""Because I can't  allow any man to behave to me in that way,"" Cassandra replied, and she added, ""particularly when I know that he is engaged to some one else.""","L"
9,"There he was  across the table looking dishevelled and dazed, uncomprehending and  aggrieved, and that head of his proved as hard as ages ago when the  nickname of Testa Dura had been given to him by a Brother of Italian  origin on some occasion or other, some butting match no doubt; just as  he, Peyrol himself, was known for a time on both sides of the Mozambique  Channel as Poigne-de-Fer, after an incident when in the presence of the  Brothers he played at arm's length with the windpipe of an obstreperous  negro sorcerer with an enormous girth of chest.","H"
219,"I hope this delay will not have increased the difficulty of securing it.""","L"
32,"He was a long chap, with a red face, the lower part muffled round----"" ""That will do,"" cried Holmes.","H"
29,"Because he's a priest, a mystery monger, he thought; feeling his coldness; this guardian of beautiful words.","L"
37,"Katharine had forgotten to remove this token of her star-gazing.","L"
56,"How pleasant it was in its air of perfect domestic comfort!","H"
189,"It may be the extreme of mortal misery, it may be sheer waste of time, and fruitless torture of feeling.","L"
91,"Miss Ingram was a mark beneath jealousy: she was too inferior to excite the feeling.","H"
210,"Apparently she found there the confirmation of the words just said, for a feeling of grateful security lightened for her the weight of sorrow at the hour of parting.","H"
165,"Was he our malignant enemy, or was he by chance our guardian angel?","L"
59,"""Let Miss Eyre be seated,"" said he: and there was something in the forced stiff bow, in the impatient yet formal tone, which seemed further to express, ""What the deuce is it to me whether Miss Eyre be there or not?","L"
47,"""And mind,"" he continued, ""don't  bother me with any details of the anatomical process, or any notice of the condition of the entrails: let your operation be conducted in silence: tiens-toi tranquille, enfant; comprends-tu?""","L"
231,"I do not know what kind of creatures inhabit such a thicket, but several times we heard the plunging of large, heavy animals quite close to us.","L"
203,"I should say she has a good deal of literary feeling.""","L"
205,"There were eternal problems: suffering; death; the poor.","H"
83,"for it was not knowledge but unity that she desired, not inscriptions on tablets, nothing that could be written in any language known to men, but intimacy itself, which is knowledge, she had thought, leaning her head on Mrs. Ramsay's knee.","L"
120,"""In that field, Adele, I was walking late one evening about a fortnight since - the evening of the day you helped me to make hay in the orchard meadows; and, as I was tired with raking swaths, I sat down to rest me on a stile; and there I took out a little book and a pencil, and began to write about a misfortune that befell me long ago, and a wish I had for happy days to come: I was writing away very fast, though daylight was fading from the leaf, when something came up the path and stopped two yards off me.","H"
181,"""I shall go grey, I fear, before the ring is on my finger,"" she said, slowly, keeping her gaze fastened upon him.","H"
151,"At last, having collected enough to keep life in him, he departed for Europe, and tracked his enemies from city to city, working his way in any menial capacity, but never overtaking the fugitives.","L"
102,"A ferocious beast would surely have destroyed them and left their remains.","H"
16,"But now her true self had returned matured in its mysterious exile,  hopeful and eager for love.","H"
44,"From the Sierra Nevada to Nebraska, and from the Yellowstone River in the north to the Colorado upon the south, is a region of desolation and silence.","H"
